* Generated by rew_pipeline.py (source UUID 3cad11fd-e3fa-4108-9c9c-d820def9f39f, calibrated to its own SPL at 100 Hz, phase referenced to REW t=0 (IR start -1.000021 s))
* Measurement: R.filtered.120.green.multipos.fdw6
* Dated: 2026-Sep-15 11:27:47
* Note: ; Trace Arithmetic A times B A = R.nofdw.120.green.multipos.fdw6 B = FRX-trimmed.120.green.multipos.fdw6
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
114.257812 78.150 26.5303
114.440918 78.263 25.6707
114.624023 78.356 24.8367
114.807129 78.450 24.0766
114.990234 78.563 23.2664
115.173340 78.685 22.2286
115.356445 78.794 20.8797
115.539551 78.871 19.2658
115.722656 78.911 17.4823
115.905762 78.918 15.5884
116.088867 78.896 13.5998
116.271973 78.837 11.5549
116.455078 78.735 9.5660
116.638184 78.596 7.7838
116.821289 78.438 6.2948
117.004395 78.285 5.0442
117.187500 78.142 3.8734
117.370605 77.994 2.6543
117.553711 77.822 1.3923
117.736816 77.615 0.2059
117.919922 77.385 -0.7850
118.103027 77.150 -1.5450
118.286133 76.918 -2.1047
118.469238 76.690 -2.4697
118.652344 76.464 -2.5742
118.835449 76.255 -2.3505
119.018555 76.086 -1.8508
119.201660 75.972 -1.2742
119.384766 75.899 -0.8342
119.567871 75.837 -0.5941
119.750977 75.770 -0.4425
119.934082 75.707 -0.2247
120.117188 75.676 0.0954
120.300293 75.699 0.3843
120.483398 75.773 0.4390
120.666504 75.872 0.1329
120.849609 75.966 -0.5260
121.032715 76.032 -1.4421
121.215820 76.063 -2.5119
121.398926 76.061 -3.6737
121.582031 76.030 -4.9168
121.765137 75.971 -6.2644
121.948242 75.879 -7.7420
122.131348 75.745 -9.3396
122.314453 75.559 -10.9853
122.497559 75.314 -12.5522
122.680664 75.016 -13.9050
122.863770 74.680 -14.9596
123.046875 74.317 -15.7076
123.229980 73.933 -16.1746
123.413086 73.523 -16.3465
123.596191 73.088 -16.1398
123.779297 72.643 -15.4586
123.962402 72.213 -14.2821
124.145508 71.815 -12.6792
124.328613 71.455 -10.7139
124.511719 71.136 -8.3558
124.694824 70.879 -5.5404
124.877930 70.725 -2.3518
125.061035 70.703 0.8972
125.244141 70.800 3.8390
125.427246 70.978 6.2925
125.610352 71.207 8.2770
125.793457 71.480 9.8275
125.976562 71.789 10.8754
126.159668 72.104 11.3401
126.342773 72.382 11.2979
126.525879 72.593 11.0189
126.708984 72.742 10.8224
126.892090 72.866 10.8692
127.075195 73.004 11.0551
127.258301 73.170 11.1117
127.441406 73.340 10.8355
127.624512 73.486 10.2300
127.807617 73.596 9.4510
127.990723 73.684 8.6505
128.173828 73.775 7.8611
128.356934 73.881 7.0003
128.540039 73.998 5.9678
128.723145 74.106 4.7352
128.906250 74.186 3.3590
129.089355 74.228 1.9347
129.272461 74.231 0.5430
129.455566 74.201 -0.7746
129.638672 74.143 -2.0134
129.821777 74.065 -3.1914
130.004883 73.970 -4.3355
130.187988 73.860 -5.4721
130.371094 73.736 -6.6211
130.554199 73.593 -7.7873
130.737305 73.420 -8.9453
130.920410 73.210 -10.0190
131.103516 72.958 -10.8751
131.286621 72.675 -11.3614
131.469727 72.390 -11.3964
131.652832 72.136 -11.0630
131.835938 71.931 -10.6015
132.019043 71.760 -10.2524
132.202148 71.585 -10.0696
132.385254 71.382 -9.8852
132.568359 71.158 -9.4620
132.751465 70.946 -8.6985
132.934570 70.774 -7.7039
133.117676 70.640 -6.6577
133.300781 70.524 -5.6087
133.483887 70.417 -4.4538
133.666992 70.337 -3.1257
133.850098 70.311 -1.7667
134.033203 70.337 -0.6646
134.216309 70.378 -0.0010
134.399414 70.394 0.2969
134.582520 70.369 0.4594
134.765625 70.320 0.6721
134.948730 70.268 0.9781
135.131836 70.219 1.3519
135.314941 70.169 1.8218
135.498047 70.121 2.4716
135.681152 70.087 3.3262
135.864258 70.072 4.2937
136.047363 70.062 5.2759
136.230469 70.036 6.3144
136.413574 69.998 7.5563
136.596680 69.980 9.0346
136.779785 70.014 10.5237
136.962891 70.087 11.7097
137.145996 70.155 12.5288
137.329102 70.190 13.2570
137.512207 70.221 14.2255
137.695312 70.308 15.4406
137.878418 70.480 16.5308
138.061523 70.695 17.1473
138.244629 70.882 17.3505
138.427734 71.014 17.5306
138.610840 71.125 17.9965
138.793945 71.268 18.6619
138.977051 71.453 19.1611
139.160156 71.635 19.2853
139.343262 71.768 19.2115
139.526367 71.860 19.2761
139.709473 71.961 19.5713
139.892578 72.109 19.8013
140.075684 72.277 19.5937
140.258789 72.407 18.9126
140.441895 72.469 18.0876
140.625000 72.498 17.4635
140.808105 72.560 17.0373
140.991211 72.691 16.4550
141.174316 72.860 15.4158
141.357422 73.011 14.0134
141.540527 73.125 12.6324
141.723633 73.233 11.5541
141.906738 73.375 10.6803
142.089844 73.544 9.6655
142.272949 73.678 8.3273
142.456055 73.721 6.8611
142.639160 73.668 5.6539
142.822266 73.575 4.9075
143.005371 73.506 4.4138
143.188477 73.470 3.7385
143.371582 73.424 2.6646
143.554688 73.320 1.3984
