* Generated by rew_pipeline.py (source UUID 9e8dedfa-8b56-4da9-abd5-de1186520615, calibrated to its own SPL at 100 Hz, phase referenced to REW t=0 (IR start -0.999958 s))
* Measurement: L.filtered.120.green.multipos.fdw6
* Dated: 2026-Sep-15 11:27:46
* Note: ; Trace Arithmetic A times B A = L.nofdw.120.green.multipos.fdw6 B = FLX-trimmed.120.green.multipos.fdw6
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
147.583008 68.706 4.7040
147.766113 68.441 8.0380
147.949219 68.204 11.6566
148.132324 68.036 15.8872
148.315430 68.040 20.6063
148.498535 68.272 25.0390
148.681641 68.664 28.4228
148.864746 69.095 30.6912
149.047852 69.499 32.3197
149.230957 69.888 33.7349
149.414062 70.302 34.9547
149.597168 70.744 35.7109
149.780273 71.171 35.8373
149.963379 71.540 35.4631
150.146484 71.846 34.8620
150.329590 72.118 34.1842
150.512695 72.384 33.3438
150.695801 72.639 32.1605
150.878906 72.845 30.6026
151.062012 72.969 28.8787
151.245117 73.005 27.3149
151.428223 72.985 26.1393
151.611328 72.951 25.3389
151.794434 72.926 24.7044
151.977539 72.904 24.0308
152.160645 72.866 23.2789
152.343750 72.805 22.5526
152.526855 72.734 21.9550
152.709961 72.670 21.4853
152.893066 72.616 21.0842
153.076172 72.555 20.7628
153.259277 72.478 20.6537
153.442383 72.400 20.8985
153.625488 72.355 21.4582
153.808594 72.367 22.0454
153.991699 72.419 22.3048
154.174805 72.456 22.1022
154.357910 72.432 21.6459
154.541016 72.340 21.3573
154.724121 72.227 21.6013
154.907227 72.163 22.4288
155.090332 72.197 23.5168
155.273438 72.321 24.4096
155.456543 72.475 24.8585
155.639648 72.599 24.9379
155.822754 72.668 24.9044
156.005859 72.694 24.9857
156.188965 72.711 25.2482
156.372070 72.747 25.5978
156.555176 72.814 25.8845
156.738281 72.907 26.0144
156.921387 73.013 25.9934
157.104492 73.121 25.8994
157.287598 73.229 25.8321
157.470703 73.341 25.8709
157.653809 73.466 26.0409
157.836914 73.618 26.2816
158.020020 73.806 26.4449
158.203125 74.023 26.3490
158.386230 74.249 25.8663
158.569336 74.461 24.9870
