* Generated by rew_pipeline.py (source UUID a991554c-26c7-4668-8b42-31ccc9447062, calibrated to its own SPL at 100 Hz, phase referenced to REW t=0 (IR start -1.000015 s))
* Measurement: R.nofdw.120.green.multipos.fdw6
* Dated: 2026-Sep-15 11:27:46
* Note: ; Copy of R.0 10 sept 2026 Position MLP 4.18m from front wall 3.32m from RLand L speaker 1.20m speakers to front wall marker: green 2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY -0.0108 ms (-3.7 mm, -0.15 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.2 ppm
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
191.894531 78.628 6.6717
192.260742 78.276 -0.1645
192.626953 78.387 -6.9045
192.993164 78.218 -12.3004
193.359375 78.002 -16.8417
193.725586 77.585 -20.6997
194.091797 77.055 -25.8489
194.458008 76.992 -28.4423
194.824219 76.613 -32.5394
195.190430 75.962 -36.3335
195.556641 75.337 -37.7596
195.922852 74.723 -40.3306
196.289062 73.954 -38.4323
196.655273 73.366 -34.7635
197.021484 73.124 -32.6201
197.387695 72.808 -30.4034
197.753906 73.117 -26.7273
198.120117 73.540 -24.6104
198.486328 73.923 -22.4379
198.852539 74.488 -21.3912
199.218750 74.829 -21.8820
199.584961 75.568 -23.5403
199.951172 76.156 -26.9669
200.317383 76.565 -28.0072
200.683594 76.841 -30.8648
201.049805 77.252 -34.6867
201.416016 77.363 -38.3227
201.782227 77.567 -41.6190
202.148438 77.442 -45.5308
202.514648 77.523 -50.3176
202.880859 77.367 -53.2589
203.247070 77.139 -56.2000
203.613281 76.965 -58.6501
203.979492 76.750 -61.7069
204.345703 76.631 -63.2402
204.711914 76.351 -64.5658
205.078125 76.038 -65.6768
205.444336 75.821 -66.0162
205.810547 75.604 -65.7629
206.176758 75.452 -66.8459
206.542969 75.199 -67.5498
206.909180 75.260 -67.5730
207.275391 75.161 -66.1422
207.641602 74.976 -67.1640
208.007812 75.392 -67.5793
208.374023 75.420 -67.6122
208.740234 75.563 -67.5810
209.106445 75.512 -69.9801
209.472656 75.709 -71.3008
209.838867 75.843 -73.0652
210.205078 75.902 -73.5781
210.571289 75.812 -74.5113
210.937500 75.808 -76.5037
211.303711 75.924 -78.7078
211.669922 75.872 -80.8619
212.036133 75.924 -83.1002
212.402344 75.776 -86.3876
212.768555 75.705 -88.6926
213.134766 75.112 -90.3925
213.500977 74.666 -92.1506
213.867188 74.396 -92.8511
214.233398 73.679 -92.3119
214.599609 73.452 -92.4917
214.965820 73.196 -90.3982
215.332031 72.840 -86.6073
215.698242 72.377 -83.5696
216.064453 72.229 -80.9408
216.430664 72.625 -75.6659
216.796875 73.254 -72.9558
217.163086 73.950 -73.2559
217.529297 74.531 -72.6272
217.895508 74.946 -73.8441
218.261719 75.369 -74.7907
218.627930 75.595 -76.6865
218.994141 76.179 -81.0877
219.360352 76.622 -81.5072
219.726562 76.721 -84.1732
220.092773 76.865 -87.5638
220.458984 76.888 -90.3276
220.825195 77.175 -93.8867
221.191406 77.126 -96.6122
221.557617 76.909 -101.0980
221.923828 76.992 -104.2699
222.290039 76.792 -105.2682
222.656250 76.309 -108.2254
223.022461 76.020 -110.9698
223.388672 75.972 -113.1428
223.754883 75.928 -111.1408
224.121094 75.360 -111.1755
224.487305 75.236 -113.9245
224.853516 75.394 -113.7365
225.219727 75.279 -112.0932
225.585938 75.219 -113.8737
225.952148 75.373 -114.9524
226.318359 75.658 -117.1934
226.684570 75.720 -118.0616
227.050781 75.778 -120.7490
227.416992 75.728 -124.1338
227.783203 75.800 -126.8359
228.149414 75.574 -128.8246
228.515625 75.472 -132.9814
228.881836 75.144 -135.3509
229.248047 74.950 -137.2378
229.614258 74.666 -139.1921
229.980469 74.272 -142.6391
230.346680 74.180 -141.3957
230.712891 73.985 -142.1472
231.079102 73.478 -145.8371
231.445312 73.558 -146.2113
231.811523 73.601 -146.9996
232.177734 73.472 -149.2213
232.543945 73.255 -152.8879
232.910156 73.187 -155.9310
233.276367 72.997 -159.4744
233.642578 72.766 -164.6020
234.008789 72.625 -170.3560
234.375000 72.034 -172.9259
234.741211 71.145 -179.0066
235.107422 70.666 174.3531
235.473633 69.849 170.9700
235.839844 68.817 166.1833
236.206055 67.369 157.0394
236.572266 65.551 149.9642
236.938477 64.269 144.7831
237.304688 61.827 137.6799
237.670898 59.026 122.9423
238.037109 56.194 110.0916
238.403320 49.705 99.8718
238.769531 49.824 25.9964
239.135742 55.061 -8.3005
239.501953 57.325 -29.4530
239.868164 60.413 -43.5897
240.234375 61.742 -40.5813
240.600586 62.208 -46.5361
240.966797 62.937 -51.5793
241.333008 64.405 -54.7132
241.699219 64.965 -58.7927
242.065430 65.447 -59.1086
242.431641 66.239 -60.1668
242.797852 66.572 -64.8751
243.164062 66.702 -66.2526
243.530273 67.061 -69.0389
243.896484 67.223 -71.4482
244.262695 67.951 -70.9423
244.628906 68.117 -71.9298
244.995117 67.922 -72.7933
245.361328 67.929 -75.4652
245.727539 68.419 -74.7330
246.093750 68.695 -73.8862
246.459961 68.963 -74.8666
246.826172 69.430 -75.8046
247.192383 69.326 -74.8156
247.558594 69.707 -77.3638
247.924805 69.908 -77.3313
248.291016 70.383 -78.6429
248.657227 70.152 -78.3152
249.023438 70.429 -78.4214
249.389648 70.474 -80.0505
249.755859 70.956 -80.7087
250.122070 71.008 -80.3463
250.488281 71.105 -83.4087
250.854492 71.224 -83.8638
251.220703 71.436 -83.2085
251.586914 71.455 -84.6616
251.953125 71.801 -86.3258
252.319336 71.957 -85.0222
252.685547 72.171 -86.1347
253.051758 72.388 -88.7348
253.417969 72.592 -88.6931
253.784180 72.727 -89.5857
254.150391 72.974 -91.3101
254.516602 73.138 -91.6228
254.882812 73.542 -93.7681
255.249023 73.459 -94.2120
255.615234 73.752 -95.5134
255.981445 74.129 -96.9871
256.347656 74.107 -99.0911
256.713867 74.325 -101.4478
257.080078 74.232 -102.6107
257.446289 74.296 -105.0703
257.812500 74.701 -108.6509
258.178711 74.778 -108.8614
258.544922 74.850 -111.5453
258.911133 74.938 -113.0140
259.277344 74.945 -116.0425
259.643555 74.945 -118.5677
260.009766 75.084 -121.2979
260.375977 75.107 -124.9168
260.742188 75.016 -128.9059
261.108398 74.856 -132.0343
261.474609 74.565 -133.5505
261.840820 74.298 -137.6504
262.207031 74.044 -138.5651
262.573242 73.879 -142.2628
262.939453 73.263 -143.5570
263.305664 72.889 -145.9259
263.671875 72.526 -148.4275
264.038086 72.325 -148.8114
264.404297 71.544 -149.5448
264.770508 71.084 -153.6805
265.136719 70.377 -153.7647
265.502930 69.553 -152.6033
265.869141 68.809 -152.4025
266.235352 68.267 -149.1246
266.601562 67.438 -143.1358
266.967773 67.144 -141.1501
267.333984 67.491 -135.6028
267.700195 67.361 -129.6450
268.066406 66.964 -128.0912
268.432617 67.737 -124.0340
268.798828 67.825 -120.4268
269.165039 67.918 -119.5726
269.531250 68.840 -119.3102
269.897461 69.110 -120.2206
270.263672 69.208 -121.4128
270.629883 69.247 -120.5808
270.996094 69.513 -120.5064
271.362305 69.605 -119.9983
271.728516 69.400 -119.1373
272.094727 69.705 -118.7986
272.460938 69.689 -118.8289
272.827148 69.955 -116.5511
273.193359 70.212 -116.4329
273.559570 70.395 -116.9254
273.925781 70.731 -114.5058
274.291992 71.107 -117.8969
274.658203 71.615 -117.0584
275.024414 71.514 -117.0961
275.390625 71.722 -118.9545
275.756836 72.093 -120.4289
276.123047 72.097 -120.1854
276.489258 72.299 -120.8639
276.855469 72.612 -123.1443
277.221680 72.605 -123.5866
277.587891 72.814 -126.4775
277.954102 73.151 -128.0961
278.320312 73.150 -128.5011
278.686523 73.387 -129.5726
279.052734 73.240 -132.8560
279.418945 73.300 -134.2978
279.785156 73.404 -137.5591
280.151367 73.098 -140.5341
280.517578 73.227 -142.5917
280.883789 73.075 -144.6476
281.250000 72.925 -146.5969
281.616211 72.447 -146.4399
281.982422 72.170 -148.8913
282.348633 71.751 -147.7882
282.714844 71.285 -147.3752
283.081055 71.210 -144.4366
283.447266 71.193 -142.7155
283.813477 71.356 -140.6630
284.179688 71.629 -140.1903
284.545898 71.815 -137.9717
284.912109 72.321 -137.3770
285.278320 72.498 -136.6068
285.644531 73.064 -137.1367
286.010742 73.306 -139.2068
286.376953 73.729 -139.7919
286.743164 74.142 -141.7488
287.109375 74.459 -145.3523
